0 0 0 0 1 1 1 1 1 2 1 1 2 1 1 1 1 1 0 0 0 0 
0 0 0 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 0 0 0 
0 0 1 1 2 2 2 1 1 2 1 1 2 1 1 2 2 2 1 1 0 0 
0 1 1 1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 1 1 1 0 
1 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 1 
1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1 1 1 
1 1 1 2 2 2 1 1 1 2 1 1 2 1 1 1 2 2 2 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 1 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 
1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 
2 2 2 2 2 2 1 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 2 2 2 2 1 1 2 1 1 2 1 1 2 2 2 2 1 1 1 
1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 
0 1 1 2 2 2 2 1 1 2 1 1 2 1 1 2 2 2 2 1 1 0 
0 0 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 0 0 
0 0 0 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 0 0 0 
大黑特黑
大黑
特黑
TEST2
1992
zyn
