0 0 0 0 1 2 1 2 1 2 1 1 2 1 2 1 2 1 0 0 0 0 
0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 
0 0 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 0 0 
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
1 2 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 2 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 2 1 2 1 2 1 0 0 0 0 0 0 0 0 1 2 1 2 1 2 1 
1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 
1 2 1 2 1 2 1 0 0 0 0 0 0 0 0 1 2 1 2 1 2 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 2 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0 2 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 0 
0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 
0 0 0 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 0 0 0 
Shangke7788
Shang
ke7788
TEST2
A
B
