67
9974 2 2 10 
9867 3 15 8 
9819 3 7 3 
9807 2 10 4 
9794 3 15 15 
9748 1 18 15 
9743 2 10 0 
9738 2 0 12 
9607 3 0 8 
9601 3 12 13 
9595 2 19 4 
9551 1 4 3 
9541 2 11 0 
9114 2 8 15 
9073 0 21 10 
8606 2 12 5 
7828 0 19 6 
7744 0 5 5 
7334 2 16 1 
7204 2 3 3 
7117 2 14 13 
6398 0 10 16 
6396 0 19 3 
6294 2 19 14 
6265 3 8 16 
6032 0 16 5 
5952 0 19 4 
5616 0 21 12 
5433 0 19 15 
5281 0 2 7 
5261 2 2 11 
5215 2 19 9 
5180 0 17 10 
5116 0 2 13 
5095 1 15 3 
5024 3 18 3 
5024 2 9 3 
4891 2 0 5 
4539 2 15 0 
4285 2 15 4 
4197 2 6 16 
4159 0 8 2 
4110 0 0 13 
3988 2 9 1 
3926 0 20 13 
3513 0 12 11 
3435 2 11 3 
3428 2 15 13 
3362 0 17 5 
3206 2 6 8 
3098 1 11 14 
3082 2 21 4 
2746 2 11 16 
2543 0 11 12 
2542 3 17 11 
2471 0 8 5 
2404 2 3 9 
2049 2 20 11 
1707 2 15 5 
1660 1 6 9 
1659 0 21 4 
1580 2 3 11 
1560 2 6 8 
490 0 17 12 
129 2 4 4 
122 1 12 11 
122 3 13 15 
