0 0 0 
3 1 0 
2 2 4 
1 3 4 
0 4 3 
3 5 0 
2 6 2 
1 7 4 
0 8 3 
3 9 0 
2 10 2 
1 11 4 
0 12 3 
3 13 0 
2 14 2 
1 15 4 
0 16 3 
3 17 0 
2 18 2 
1 19 4 
0 20 3 
3 21 0 
2 22 2 
1 23 4 
0 24 3 
3 25 0 
2 26 2 
1 27 4 
0 28 2 
3 29 0 
2 30 2 
1 31 4 
0 32 2 
3 33 0 
2 34 2 
1 35 4 
0 36 2 
3 37 0 
2 38 2 
1 39 2 
0 40 2 
3 41 0 
2 42 2 
1 43 2 
0 44 2 
3 45 0 
2 46 2 
1 47 2 
0 48 2 
3 49 0 
2 50 2 
1 51 2 
0 52 2 
3 53 0 
2 54 2 
1 55 2 
0 56 2 
3 57 0 
2 58 2 
1 59 2 
0 60 2 
3 61 0 
2 62 2 
1 63 2 
0 64 2 
3 65 0 
2 66 2 
1 67 2 
0 68 2 
3 69 0 
2 70 2 
1 71 2 
0 72 2 
3 73 0 
2 74 2 
1 75 2 
0 76 2 
3 77 0 
2 78 2 
1 79 2 
0 80 2 
3 81 0 
2 82 2 
1 83 2 
0 84 2 
3 85 0 
2 86 2 
1 87 2 
0 88 2 
3 89 0 
2 90 2 
1 91 2 
0 92 2 
3 93 0 
2 94 2 
1 95 2 
0 96 2 
3 97 0 
2 98 2 
1 99 2 
0 100 5 
2 2 2 2 2 2 2 2 4 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
3 101 4 
2 102 2 
1 103 3 
0 104 2 
3 105 4 
2 106 2 
1 107 3 
0 108 2 
3 109 4 
2 110 2 
1 111 3 
0 112 2 
3 113 4 
2 114 2 
1 115 3 
0 116 2 
3 117 4 
2 118 2 
1 119 3 
0 120 2 
3 121 4 
2 122 5 
2 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
1 123 0 
0 124 2 
3 125 0 
2 126 2 
1 127 0 
0 128 2 
3 129 0 
2 130 3 
1 131 1 
0 132 3 
3 133 1 
2 134 3 
1 135 1 
0 136 3 
3 137 1 
2 138 3 
1 139 1 
0 140 3 
3 141 1 
2 142 3 
1 143 1 
0 144 3 
3 145 1 
2 146 3 
1 147 5 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 
0 148 3 
3 149 5 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 
2 150 3 
1 151 1 
0 152 3 
3 153 1 
2 154 3 
1 155 1 
0 156 3 
3 157 1 
2 158 3 
1 159 1 
0 160 3 
3 161 1 
2 162 3 
1 163 1 
0 164 3 
3 165 1 
2 166 3 
1 167 1 
0 168 3 
3 169 1 
2 170 3 
1 171 1 
0 172 3 
3 173 1 
2 174 5 
2 2 3 3 3 3 3 3 3 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
1 175 0 
0 176 3 
3 177 0 
2 178 2 
1 179 0 
0 180 3 
3 181 0 
2 182 2 
